milan:/ # cat /proc/partitions
major minor  #blocks  name

   1        0       4096 ram0
   1        1       4096 ram1
   1        2       4096 ram2
   1        3       4096 ram3
   1        4       4096 ram4
   1        5       4096 ram5
   1        6       4096 ram6
   1        7       4096 ram7
   1        8       4096 ram8
   1        9       4096 ram9
   1       10       4096 ram10
   1       11       4096 ram11
   1       12       4096 ram12
   1       13       4096 ram13
   1       14       4096 ram14
   1       15       4096 ram15
   7        0        880 loop0
   7        8      36533 loop1
   7       16       8637 loop2
   7       24      41153 loop3
   7       32      21824 loop4
   7       40     112072 loop5
   7       48      36533 loop6
   7       56       8637 loop7
   7       64       1952 loop8
   7       72       1988 loop9
   7       80       6556 loop10
   7       88       3924 loop11
   7       96       7724 loop12
   7      104      16852 loop13
   7      112       4176 loop14
   7      120       8616 loop15
 254        0    3221672 zram0
 179        0  122138624 mmcblk0
 179        1        512 mmcblk0p1
 179        2      26624 mmcblk0p2
 179        3        512 mmcblk0p3
 179        4      20480 mmcblk0p4
 179        5       1024 mmcblk0p5
 179        6        128 mmcblk0p6
 179        7       8032 mmcblk0p7
 179        8       8192 mmcblk0p8
 179        9       8192 mmcblk0p9
 179       10        512 mmcblk0p10
 179       11        512 mmcblk0p11
 179       12       3072 mmcblk0p12
 179       13      49152 mmcblk0p13
 179       14       8192 mmcblk0p14
 179       15       8192 mmcblk0p15
 179       16      16384 mmcblk0p16
 179       17      32768 mmcblk0p17
 179       18      65536 mmcblk0p18
 179       19      23144 mmcblk0p19
 179       20      32768 mmcblk0p20
 179       21       8192 mmcblk0p21
 179       22       8192 mmcblk0p22
 179       23       5528 mmcblk0p23
 179       24        512 mmcblk0p24
 179       25       8192 mmcblk0p25
 179       26       7680 mmcblk0p26
 179       27       2048 mmcblk0p27
 179       28      65536 mmcblk0p28
 179       29        512 mmcblk0p29
 179       30      98304 mmcblk0p30
 179       31      16384 mmcblk0p31
 259        0       5632 mmcblk0p32
 259        1     131072 mmcblk0p33
 259        2       1024 mmcblk0p34
 259        3       6144 mmcblk0p35
 259        4       1024 mmcblk0p36
 259        5      16384 mmcblk0p37
